ID PAIR,Focal_treatment,Opponent_treatment,Dry_weight_focal,Dry_weight_opponent,Nemato_length_focal,Nemato_length_opponent,StartleResp_1_focal,StartleResp_1_Opponent,StartleResp_2_focal,StartleResp_2_Opponent,Contest_outcome,Contest_duration,Contest_escalation
27x36,F,NF,0.226,0.448,0.0387471,0.0378997,121,194,141,140,0,2230,1
28x37,NF,F,0.489,1.026,0.0453759,0.0466356,783,378,80,143,0,880,1
29x46,F,NF,0.338,0.45,0.0485591,0.0469057,283,659,481,405,0,400,1
30x50,NF,F,0.896,1.001,0.0484588,0.0477223,74,533,647,884,0,1214,1
31x49,F,NF,0.327,0.748,0.0426455,0.0389945,326,80,488,316,1,1076,1
32x55,NF,F,0.473,0.543,0.0391141,0.0397398,145,147,34,182,0,2164,1
33x53,F,NF,0.388,0.477,0.037355,0.0447656,71,106,116,371,0,821,1
34x41,NF,F,1.03,0.635,0.042985,0.0457542,88,51,137,84,0,1749,0
35x52,F,NF,0.486,0.468,0.0474445,0.0392457,149,60,472,619,0,984,0
56x89,NF,F,0.54,0.53,0.0385838,0.0396451,103,2798,126,1120,0,1178,1
57x76,F,NF,0.228,0.145,0.0403637,0.0418031,653,95,237,136,1,1258,0
58x84,NF,F,0.504,0.437,0.0452577,0.0390112,119,598,393,462,1,1254,1
59x80,F,NF,0.971,0.636,0.0405381,0.0388211,47,380,2022,2838,0,1373,1
60x75,NF,F,0.385,0.554,0.0403963,0.0393684,226,528,180,4539,0,715,0
61x83,F,NF,0.227,0.363,0.0411659,0.037338,161,107,551,177,1,1023,0
62x85,NF,F,0.55,1.252,0.0431794,0.0403175,469,84,1450,1339,1,963,0
64x87,F,NF,0.649,0.364,0.0416364,0.0373571,1034,101,2293,902,1,563,0
65x79,NF,F,0.806,0.739,0.0437093,0.0413615,286,679,2122,3258,0,893,0
67x81,F,NF,0.503,0.332,0.04115,0.0414573,1260,446,89,98,1,610,0
68x77,NF,F,0.454,0.757,0.045266,0.043416,121,701,393,491,0,645,1
70x88,F,NF,0.597,0.522,0.0432162,0.0403044,236,107,310,525,1,526,1
71x78,NF,F,0.504,0.758,0.0434352,0.0375357,81,199,763,191,0,643,1
72x82,F,NF,0.375,0.359,0.039349,0.0411444,250,441,200,112,1,1074,0
73x86,NF,F,0.282,0.478,0.0442416,0.0413028,567,210,1502,435,0,1291,0
124x146,F,NF,0.56,0.472,0.0405112,0.0391406,116,79,395,673,1,302,0
125x140,NF,F,0.265,0.447,0.0376472,0.0360669,786,89,441,105,0,450,0
126x148,F,NF,0.447,0.242,0.0393399,0.0398706,627,146,1265,514,1,597,1
128x141,NF,F,0.672,0.392,0.0448892,0.0454493,150,54,147,119,0,4091,0
129x143,F,NF,0.424,0.205,0.0381891,0.0341967,88,935,143,187,0,1036,0
135x149,NF,F,0.8,0.291,0.0404998,0.035807,161,237,422,159,1,1128,0
1x3,F,F,0.636,0.644,0.045554,0.0456864,1077,113,427,172,1,418,0
2x5,F,F,0.282,0.202,0.0446828,0.0375303,138,318,663,120,1,780,0
4x8,F,F,0.397,1.099,0.0438029,0.0457791,85,408,814,967,1,814,0
63x66,F,F,0.445,0.809,0.053048,0.0427795,100,650,402,653,0,913,0
69x74,F,F,0.32,0.465,0.0421778,0.0405075,288,276,143,129,1,3805,0
6x7,F,F,0.329,0.543,0.0396488,0.0463555,95,601,67,157,0,3661,1
90x108,F,F,0.447,0.551,0.0426329,0.0444103,107,1113,6206,2437,1,5807,0
91x97,F,F,0.245,0.328,0.0414191,0.0394311,146,158,190,1067,1,984,0
92x106,F,F,0.33,0.251,0.0432866,0.0443651,116,2421,92,711,0,4067,0
93x94,F,F,0.303,0.381,0.041614,0.0433763,108,101,5312,4892,1,819,0
95x105,F,F,0.519,0.33,0.0379495,0.0372012,320,86,1485,826,1,1673,0
96x98,F,F,0.269,0.368,0.0365812,0.0403356,1314,2111,1271,548,1,2734,0
99x109,F,F,0.293,0.679,0.0366271,0.043108,2012,911,860,231,0,3933,0
100x107,F,F,0.673,0.81,0.0438886,0.0477302,5299,1114,1007,654,0,1320,0
101x102,F,F,0.374,0.42,0.0422199,0.0397067,401,92,185,545,1,2064,0
103x104,F,F,0.191,0.307,0.0401565,0.0405425,122,67,1654,1854,1,2827,0
130x131,F,F,0.467,0.511,0.0437947,0.0394404,404,40,694,118,0,1936,0
132x133,F,F,0.273,0.177,0.0364243,0.0371909,89,40,105,78,0,1830,0
134x136,F,F,0.319,0.363,0.0401329,0.0365854,284,2126,185,1408,0,921,0
137x138,F,F,0.409,0.471,0.0383569,0.0369183,106,187,285,311,0,1541,0
10x17,NF,NF,0.427,0.709,0.0351267,0.0453776,2846,472,578,233,1,1603,1
12x18,NF,NF,1.81,0.819,0.0437409,0.0489214,1414,550,121,108,1,351,0
13x22,NF,NF,0.109,0.057,0.0362438,0.0189023,1073,870,148,136,1,1107,0
15x16,NF,NF,0.862,0.598,0.0473804,0.0493857,58,834,109,218,0,2522,1
19x25,NF,NF,0.181,0.413,0.0412198,0.0465187,99,231,160,119,1,642,0
21x24,NF,NF,0.664,0.276,0.0421298,0.0477546,550,583,595,488,1,882,0
38x47,NF,NF,0.293,0.646,0.0398359,0.0394512,4365,82,488,189,0,626,0
39x44,NF,NF,0.68,0.697,0.0438964,0.0433453,1230,85,1180,598,0,1835,1
40x54,NF,NF,0.172,0.25,0.045628,0.0453667,206,135,410,138,1,4898,0
42x51,NF,NF,0.425,0.76,0.0408172,0.0490133,117,84,165,169,0,2071,0
43x48,NF,NF,0.565,0.543,0.0421869,0.0481698,64,841,909,227,1,916,1
9x11,NF,NF,0.518,0.557,0.0381193,0.0342276,1252,78,1219,83,0,432,1
110x119,NF,NF,0.516,0.542,0.0407158,0.0373961,330,880,842,316,1,976,0
111x122,NF,NF,0.214,0.199,0.0418984,0.0390514,116,356,623,908,0,1329,0
114x116,NF,NF,0.313,0.606,0.0365182,0.0401304,96,882,268,413,1,3678,0
115x121,NF,NF,0.248,0.693,0.0361666,0.0374339,525,120,177,100,1,836,0
117x118,NF,NF,0.401,0.45,0.0332779,0.0369925,767,119,1026,571,1,314,0
120x123,NF,NF,0.363,0.651,0.0402822,0.0329283,179,704,380,2775,0,3623,1
139x147,NF,NF,0.272,0.329,0.0352164,0.0366597,1560,1404,85,191,1,2462,0
144x145,NF,NF,1.085,0.58,0.0432349,0.0406646,111,728,186,94,0,624,1
